Card ID,Week,System,Module,Topic,Subtopic,Learning Objective,Difficulty,Depth of Knowledge,Tier,Question,Answer,Explanation,Common Misconception,Tags
W2-086,Week 2,Skeletal,Bone Histology,Ossification,Classify skull,"Outline how bones form and grow, using the growth plate and its zones in order.",6,2,core,A flat skull bone forms directly within a membrane. Which ossification route?,Intramembranous.,"Membrane, not cartilage, is the template.",Guessing endochondral for a skull bone.,skeletal; ossification; intramembranous
W2-087,Week 2,Skeletal,Bone Histology,Ossification,Classify femur,"Outline how bones form and grow, using the growth plate and its zones in order.",8,3,core,The femur forms by replacing a cartilage model. Which ossification route?,Endochondral.,Long bones follow the cartilage-model route.,Guessing intramembranous for a long bone.,skeletal; ossification; endochondral
W2-088,Week 2,Skeletal,Bone Histology,Ossification,Most bones,"Outline how bones form and grow, using the growth plate and its zones in order.",6,2,core,Which ossification route forms most bones of the body?,Endochondral.,Only the flat skull bones use the membrane route.,Thinking intramembranous forms most bones.,skeletal; ossification; endochondral
W2-089,Week 2,Skeletal,Bone Histology,Ossification,Route board,"Outline how bones form and grow, using the growth plate and its zones in order.",8,3,core,A bone began as hyaline cartilage that was gradually replaced. Name the route and one example.,Endochondral ossification; for example the femur.,Cartilage model equals endochondral.,Confusing the cartilage-model route with membrane ossification.,skeletal; ossification; endochondral; board
W2-090,Week 2,Skeletal,Bone Histology,Ossification,Why two routes,"Outline how bones form and grow, using the growth plate and its zones in order.",8,3,core,Why do flat skull bones and long bones use different ossification routes?,Skull bones form fast within a protective membrane; long bones need a cartilage template that also allows later lengthening.,Function shapes the route each bone takes.,Thinking all bones ossify the same way.,skeletal; ossification
W2-091,Week 2,Skeletal,Bone Histology,Bone Growth,Interstitial,"Outline how bones form and grow, using the growth plate and its zones in order.",6,2,core,"What is interstitial bone growth, and where does it occur?",Growth in length at the epiphyseal plate.,Lengthening happens at the cartilage plate.,Confusing interstitial (length) with appositional (width) growth.,skeletal; bone growth; interstitial
W2-092,Week 2,Skeletal,Bone Histology,Bone Growth,Appositional,"Outline how bones form and grow, using the growth plate and its zones in order.",6,2,core,"What is appositional bone growth, and where does it occur?",Growth in width at the outer surface beneath the periosteum.,Widening happens under the periosteum.,Thinking appositional growth lengthens the bone.,skeletal; bone growth; appositional
W2-093,Week 2,Skeletal,Bone Histology,Bone Growth,Length vs width,"Outline how bones form and grow, using the growth plate and its zones in order.",8,3,core,Compare interstitial and appositional bone growth by direction and site.,Interstitial lengthens the bone at the epiphyseal plate; appositional widens it beneath the periosteum.,"Length at the plate, width at the surface.",Swapping length and width growth.,skeletal; bone growth
W2-094,Week 2,Skeletal,Bone Histology,Bone Growth,Epiphyseal plate,"Outline how bones form and grow, using the growth plate and its zones in order.",4,1,core,What is the epiphyseal plate?,The disc of hyaline cartilage where a long bone lengthens.,When it closes it leaves the epiphyseal line.,Confusing the plate (active) with the line (closed).,skeletal; bone growth; epiphyseal plate
W2-095,Week 2,Skeletal,Bone Histology,Bone Growth,Still growing,"Outline how bones form and grow, using the growth plate and its zones in order.",8,3,core,A teenager is still gaining height. Which growth and structure are active?,Interstitial growth at the epiphyseal plate.,Height comes from lengthening at the plate.,Thinking height gain comes from appositional (width) growth.,skeletal; bone growth; epiphyseal plate; clinical
W2-096,Week 2,Skeletal,Bone Histology,Growth Plate,Zones order,"Outline how bones form and grow, using the growth plate and its zones in order.",8,3,core,"Name the five zones of the growth plate in order, epiphysis to diaphysis.","Resting cartilage, proliferation, hypertrophy, calcification, ossification.",The zones run from anchoring cartilage to new bone.,Reversing the order or starting at ossification.,skeletal; growth plate; zones
W2-097,Week 2,Skeletal,Bone Histology,Growth Plate,Resting zone,"Outline how bones form and grow, using the growth plate and its zones in order.",6,2,core,Which growth-plate zone anchors the plate to the epiphysis?,The zone of resting cartilage.,"It holds the plate in place, not dividing much.",Thinking the resting zone is where cells divide.,skeletal; growth plate; resting zone
W2-098,Week 2,Skeletal,Bone Histology,Growth Plate,Proliferation,"Outline how bones form and grow, using the growth plate and its zones in order.",8,3,core,"In which zone do chondrocytes divide and stack into columns, driving lengthening?",The zone of proliferation.,Stacked dividing cells push the epiphysis away.,Thinking hypertrophy is where division happens.,skeletal; growth plate; proliferation
W2-099,Week 2,Skeletal,Bone Histology,Growth Plate,Plate fracture,"Outline how bones form and grow, using the growth plate and its zones in order.",8,3,core,A fracture runs through a child's growth plate. Why is this dangerous?,It can slow or stop the bone from lengthening.,Damage to the plate threatens future growth.,Thinking a growth-plate fracture never affects growth.,skeletal; growth plate; clinical
W2-100,Week 2,Skeletal,Bone Histology,Growth Plate,Cartilage to bone,"Outline how bones form and grow, using the growth plate and its zones in order.",8,3,core,Trace how cartilage becomes bone through the five growth-plate zones.,"Resting cartilage anchors, proliferation stacks dividing cells, hypertrophy enlarges them, calcification hardens the matrix, and ossification replaces it with bone next to the diaphysis.",The plate turns cartilage into bone in a fixed order.,Thinking bone is laid down first and cartilage second.,skeletal; growth plate; ossification
