Card ID,Week,System,Module,Topic,Subtopic,Learning Objective,Difficulty,Depth of Knowledge,Question,Answer,Explanation,Common Misconception,Tags
W1-484,Week 1,Integumentary,Integumentary,Glands,Mammary glands,"Identify the accessory structures of the skin: hair, nails, and glands.",6,2,Which gland is a modified sweat gland that produces milk?,The mammary gland.,It delivers milk through ducts to the nipple.,Thinking mammary glands are modified sebaceous glands.,integumentary; glands; mammary glands
W1-485,Week 1,Integumentary,Integumentary,Glands,Sebaceous glands,"Identify the accessory structures of the skin: hair, nails, and glands.",6,2,Why does sebum reach the skin surface through hair follicles rather than its own pore?,"Sebaceous glands empty into hair follicles, and the sebum travels up along the hair.",This lubricates both the hair and the skin.,Thinking sebaceous glands have surface pores like eccrine glands.,integumentary; glands; sebaceous glands; sebum
W1-486,Week 1,Integumentary,Integumentary,Glands,Gland comparison,"Identify the accessory structures of the skin: hair, nails, and glands.",6,2,Compare sebaceous and eccrine glands by secretion and outlet.,Sebaceous glands release oily sebum into follicles; eccrine glands release watery sweat onto the skin surface.,"Oil versus water, follicle versus surface.",Thinking both glands secrete sweat.,integumentary; glands; sebaceous glands; eccrine glands
W1-487,Week 1,Integumentary,Integumentary,Glands,Apocrine glands,"Identify the accessory structures of the skin: hair, nails, and glands.",8,3,"A gland empties a rich, thick secretion into hair follicles of the armpit. Which gland is it?",An apocrine sweat gland.,Apocrine glands localize to the axillary and genital regions.,Guessing eccrine because it is also a sweat gland.,integumentary; glands; apocrine glands; classification
W1-488,Week 1,Integumentary,Integumentary,Glands,Ceruminous glands,"Identify the accessory structures of the skin: hair, nails, and glands.",8,3,A modified sweat gland empties earwax into the ear canal. Which gland is it?,A ceruminous gland.,Cerumen protects the ear canal.,Thinking it is a sebaceous gland.,integumentary; glands; ceruminous glands; classification
W1-489,Week 1,Integumentary,Integumentary,Glands,Sebaceous glands,"Identify the accessory structures of the skin: hair, nails, and glands.",4,1,What does the sebaceous gland's secretion do for hair and skin?,Sebum softens the hair and skin.,It acts as an oily conditioner and mild water repellent.,Thinking sebum's main role is cooling.,integumentary; glands; sebaceous glands; sebum
W1-490,Week 1,Integumentary,Integumentary,Glands,Clinical,"Relate the anatomy of the skin layers to clinical scenarios such as burns, injections, and healing.",8,3,A blocked sebaceous gland traps oily secretion in a follicle. Which secretion and outlet are involved?,"Sebum, which normally drains into the hair follicle.",This backup underlies common acne lesions.,Thinking the blockage involves watery sweat.,integumentary; glands; sebaceous glands; clinical; acne
W1-491,Week 1,Integumentary,Integumentary,Glands,Modified sweat glands,"Identify the accessory structures of the skin: hair, nails, and glands.",8,3,Name the two sweat-derived 'modified' glands and what each secretes.,Ceruminous glands (earwax) and mammary glands (milk).,Both are modified sweat glands.,Listing sebaceous glands as modified sweat glands.,integumentary; glands; ceruminous glands; mammary glands; board
W1-492,Week 1,Integumentary,Integumentary,Glands,Secretion modes,"Identify the accessory structures of the skin: hair, nails, and glands.",4,1,Name the three modes by which exocrine glands release their product.,"Merocrine (eccrine), apocrine, and holocrine.",They differ in how much of the cell is lost during secretion.,Confusing the secretion mode with the gland's name.,integumentary; glands; secretion modes
W1-493,Week 1,Integumentary,Integumentary,Glands,Secretion modes,"Identify the accessory structures of the skin: hair, nails, and glands.",6,2,Compare merocrine and holocrine secretion.,"Merocrine cells stay intact and release product by exocytosis; holocrine cells fill with product and rupture, becoming the secretion.",No cell lost versus the whole cell lost.,Thinking holocrine glands survive each release.,integumentary; glands; secretion modes; merocrine; holocrine
W1-494,Week 1,Integumentary,Integumentary,Glands,Secretion modes,"Identify the accessory structures of the skin: hair, nails, and glands.",6,2,Sebaceous glands release product by the whole cell rupturing. Which secretion mode is this?,Holocrine.,The ruptured cell becomes the sebum.,Calling it apocrine secretion.,integumentary; glands; secretion modes; holocrine; sebaceous glands
W1-495,Week 1,Integumentary,Integumentary,Glands,Secretion modes,"Identify the accessory structures of the skin: hair, nails, and glands.",8,3,"A gland loses only the apical tip of each cell during secretion. Which mode is it, and name a gland that uses it.",Apocrine secretion; apocrine sweat glands (and mammary glands) use it.,It falls between merocrine and holocrine in how much cell is lost.,Confusing the apocrine mode with the apocrine gland's location.,integumentary; glands; secretion modes; apocrine
W1-496,Week 1,Integumentary,Integumentary,Clinical,Burns,"Relate the anatomy of the skin layers to clinical scenarios such as burns, injections, and healing.",4,1,A first-degree burn damages which skin layer only?,The epidermis.,"Like a mild sunburn, it heals without scarring.",Thinking a first-degree burn reaches the dermis.,integumentary; clinical; burns
W1-497,Week 1,Integumentary,Integumentary,Clinical,Burns,"Relate the anatomy of the skin layers to clinical scenarios such as burns, injections, and healing.",8,3,Compare a second-degree and a third-degree burn by the layers they reach and by pain.,Second-degree reaches into the dermis and blisters; third-degree destroys the full thickness of epidermis and dermis and can be painless because the dermal nerve endings are gone.,"A deeper burn can hurt less, yet it is more serious.",Assuming the deepest burn is always the most painful.,integumentary; clinical; burns
W1-498,Week 1,Integumentary,Integumentary,Clinical,Burns,"Relate the anatomy of the skin layers to clinical scenarios such as burns, injections, and healing.",8,3,Why can a full-thickness (third-degree) burn be painless?,"It destroys the dermis, including the nerve endings that sense pain.",No nerves means no pain signal from that area.,Thinking painlessness means the burn is minor.,integumentary; clinical; burns
W1-499,Week 1,Integumentary,Integumentary,Clinical,Injections,"Relate the anatomy of the skin layers to clinical scenarios such as burns, injections, and healing.",8,3,"An injection is placed into the dermis for a skin test. What is this route called, and how does it differ from subcutaneous?","Intradermal, into the dermis; subcutaneous is deeper, into the hypodermis.",Depth defines the injection route.,Using 'subcutaneous' and 'intradermal' interchangeably.,integumentary; clinical; injections
W1-500,Week 1,Integumentary,Integumentary,Clinical,Healing,"Relate the anatomy of the skin layers to clinical scenarios such as burns, injections, and healing.",8,3,"Two burns both remove the epidermis, but one heals on its own and one needs a graft. What structural difference explains this?","If the stratum basale, the dividing layer, survives, the skin regenerates; if it is destroyed, a graft is needed.",Regeneration depends on the basal layer.,Thinking any surviving skin can regrow the epidermis.,integumentary; clinical; healing; stratum basale; board
